國民中學校別資料																							
103 學年度 SY2014-2015																							
縣市代碼	縣市名稱	學校代碼	學校名稱	班級數	7年級	8年級	9年級	學生數	男學生	女學生	7年級男	7年級女	8年級男	8年級女	9年級男	9年級女	上學年畢業生	上學年男畢業生	上學年女畢業生	男專任教師	女專任教師	男職員	女職員
05	苗栗縣	054518	縣立文英國中	10	3	4	3	267	141	126	41	35	56	45	44	46	98	51	47	6	20	-	3
05	苗栗縣	054519	縣立竹南國中	46	15	16	15	"1,324"	645	679	223	210	222	224	200	245	361	197	164	35	74	-	9
05	苗栗縣	054520	縣立照南國中	51	16	17	18	"1,490"	785	705	255	219	257	218	273	268	478	264	214	32	83	1	11
05	苗栗縣	054521	縣立三灣國中	10	3	3	4	253	133	120	41	39	42	39	50	42	77	41	36	10	18	-	4
05	苗栗縣	054522	縣立南庄國中	9	3	3	3	231	132	99	41	33	51	32	40	34	65	37	28	13	11	2	2
05	苗栗縣	054523	縣立造橋國中	9	2	4	3	241	122	119	29	28	48	45	45	46	86	51	35	9	18	-	3
05	苗栗縣	054524	縣立大西國中	8	2	3	3	195	101	94	20	32	42	32	39	30	55	28	27	6	15	1	2
05	苗栗縣	054525	縣立後龍國中	13	4	4	5	330	183	147	64	37	54	47	65	63	76	38	38	9	20	1	3
05	苗栗縣	054526	縣立維真國中	30	9	10	11	770	379	391	112	115	134	146	133	130	253	130	123	26	48	2	6
05	苗栗縣	054527	縣立大湖國中	10	3	3	4	242	120	122	35	35	33	56	52	31	80	40	40	8	16	1	4
05	苗栗縣	054528	縣立南湖國中	7	3	2	2	193	102	91	42	34	31	31	29	26	50	24	26	8	12	-	3
05	苗栗縣	054529	縣立獅潭國中	3	1	1	1	68	40	28	14	11	11	8	15	9	24	14	10	1	7	-	3
05	苗栗縣	054531	縣立泰安國中(小)	3	1	1	1	26	13	13	2	5	7	5	4	3	18	13	5	4	5	1	3
